"molecular.formula","mz","DBE","HC","OC","NC","C","H","N","O","S","Class","AI","AImod","NOSC","DBE_O","GFE","Compound.category","fl.categories","categories","aliphatic","low.O.unsaturated","high.O.unsaturated","polyphenols","condensed.aromatics","fl_condensed.aromatics","fl_polyphenolic","fl_highly.unsat.phenolic","fl_aliphatic","fl_peptide","fl_sugar","cluster","order"
"C14H16O12N0S0",375.056899,7,1.14285714286,0.857142857143,0,14,16,0,12,0,"CHO",0,0.125,0.571428571428572,-5,44.0142857142857,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",11502
"C14H16O13N0S0",391.051814,7,1.14285714286,0.928571428571,0,14,16,0,13,0,"CHO",0,0.0666666666666667,0.714285714285714,-6,39.9428571428572,"Sugars","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3738
"C14H16O14N0S0",407.046729,7,1.14285714286,1,0,14,16,0,14,0,"CHO",0,0,0.857142857142857,-7,35.8714285714286,"Sugars","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4066
"C14H16O3N0S0",231.102668,7,1.14285714286,0.214285714286,0,14,16,0,3,0,"CHO",0.363636363636364,0.44,-0.714285714285714,4,80.6571428571428,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","low O unsaturated",0,1,0,0,0,0,0,1,0,0,0,"1",3737
"C14H16O4N0S0",247.097582,7,1.14285714286,0.285714285714,0,14,16,0,4,0,"CHO",0.3,0.416666666666667,-0.571428571428571,3,76.5857142857143,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","low O unsaturated",0,1,0,0,0,0,0,1,0,0,0,"1",4065
"C14H16O5N0S0",263.092497,7,1.14285714286,0.357142857143,0,14,16,0,5,0,"CHO",0.222222222222222,0.391304347826087,-0.428571428571429,2,72.5142857142857,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","low O unsaturated",0,1,0,0,0,0,0,1,0,0,0,"1",3380
"C14H16O6N0S0",279.087412,7,1.14285714286,0.428571428571,0,14,16,0,6,0,"CHO",0.125,0.363636363636364,-0.285714285714286,1,68.4428571428572,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","low O unsaturated",0,1,0,0,0,0,0,1,0,0,0,"1",3709
"C14H16O7N0S0",295.082326,7,1.14285714286,0.5,0,14,16,0,7,0,"CHO",0,0.333333333333333,-0.142857142857143,0,64.3714285714286,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3710
"C14H16O7N0S1",327.054397,7,1.14285714286,0.5,0,14,16,0,7,1,"CHOS",0,0.263157894736842,0,0,60.3,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4037
"C14H16O7N2S0",323.088474,8,1.14285714286,0.5,0.142857142857143,14,16,2,7,0,"CHON",0,0.294117647058824,0.285714285714286,1,52.1571428571428,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"3",3352
"C14H16O8N0S0",311.077241,7,1.14285714286,0.571428571429,0,14,16,0,8,0,"CHO",0,0.3,0,-1,60.3,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"5",3680
"C14H16O8N0S1",343.049312,7,1.14285714286,0.571428571429,0,14,16,0,8,1,"CHOS",0,0.222222222222222,0.142857142857143,-1,56.2285714285714,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4067
"C14H16O8N2S0",339.083389,8,1.14285714286,0.571428571429,0.142857142857143,14,16,2,8,0,"CHON",0,0.25,0.428571428571428,0,48.0857142857143,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4392
"C14H16O9N0S0",327.072156,7,1.14285714286,0.642857142857,0,14,16,0,9,0,"CHO",0,0.263157894736842,0.142857142857143,-2,56.2285714285714,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4038
"C14H16O9N0S1",359.044227,7,1.14285714286,0.642857142857,0,14,16,0,9,1,"CHOS",0,0.176470588235294,0.285714285714286,-2,52.1571428571428,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",10378
"C14H16O9N2S0",355.078304,8,1.14285714286,0.642857142857,0.142857142857143,14,16,2,9,0,"CHON",0,0.2,0.571428571428572,-1,44.0142857142857,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"3",10164
"C14H17O10N1S0",358.077969,7,1.21428571429,0.714285714286,0.0714285714285714,14,17,1,10,0,"CHON",0,0.125,0.428571428571428,-3,48.0857142857143,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",10399
"C14H17O11N1S0",374.072884,7,1.21428571429,0.785714285714,0.0714285714285714,14,17,1,11,0,"CHON",0,0.0666666666666667,0.571428571428572,-4,44.0142857142857,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",10165
"C14H17O12N1S0",390.067798,7,1.21428571429,0.857142857143,0.0714285714285714,14,17,1,12,0,"CHON",0,0,0.714285714285714,-5,39.9428571428572,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",10400
"C14H17O13N1S0",406.062713,7,1.21428571429,0.928571428571,0.0714285714285714,14,17,1,13,0,"CHON",0,0,0.857142857142857,-6,35.8714285714286,"Sugars","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",10379
"C14H17O6N1S0",294.098311,7,1.21428571429,0.428571428571,0.0714285714285714,14,17,1,6,0,"CHON",0,0.3,-0.142857142857143,1,64.3714285714286,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","low O unsaturated",0,1,0,0,0,0,0,1,0,0,0,"3",10380
"C14H17O7N1S0",310.093225,7,1.21428571429,0.5,0.0714285714285714,14,17,1,7,0,"CHON",0,0.263157894736842,0,0,60.3,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",10611
"C14H17O8N1S0",326.08814,7,1.21428571429,0.571428571429,0.0714285714285714,14,17,1,8,0,"CHON",0,0.222222222222222,0.142857142857143,-1,56.2285714285714,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",10594
"C14H17O9N1S0",342.083055,7,1.21428571429,0.642857142857,0.0714285714285714,14,17,1,9,0,"CHON",0,0.176470588235294,0.285714285714286,-2,52.1571428571428,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",10806
