site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,lat,long,sample.type.year
LR-01,SGLR01,LR,2015,1,160,2015-06-09,River,50.55314,-63.21136,Downriver
LR-01,SLR01,LR,2015,1,160,2015-06-09,River,50.55314,-63.21136,Downriver
LR-02    ,SLR02,LR,2015,1,160,2015-06-09,River,50.43434,-63.25355,Downriver
LR-04,SLR04,LR,2015,1,166,2015-06-15,River,50.3795,-63.26425,Downriver
LR-01    ,SWLR01    ,LR,2015,1,160,2015-06-09,River,50.55314,-63.21136,Downriver
LR-02    ,SWLR02    ,LR,2015,1,160,2015-06-09,River,50.43434,-63.25355,Downriver
LR-02    ,SWLR03    ,LR,2015,1,160,2015-06-09,River,50.43434,-63.25355,Downriver
LR-04    ,SWLR04    ,LR,2015,1,166,2015-06-15,River,50.3795,-63.26425,Downriver
ROM-050.55,LR24,LR,2015,2,213,2015-08-01,River,50.37971,-63.26574,Downriver
ROM-050.47,LR24.1,LR,2015,2,213,2015-08-01,River,50.37901,-63.26655,Downriver
ROM-050.17,LR24.2,LR,2015,2,213,2015-08-01,River,50.37651,-63.26689,Downriver
ROM-049.09,LR24.3,LR,2015,2,213,2015-08-01,River,50.36645,-63.26761,Downriver
ROM-048.89,LR24.4,LR,2015,2,213,2015-08-01,River,50.36543,-63.2659,Downriver
ROM-047.55,LR24.5,LR,2015,2,213,2015-08-01,River,50.35378,-63.2706,Downriver
ROM-047.11,LR24.6,LR,2015,2,213,2015-08-01,River,50.34943,-63.27356,Downriver
ROM-045.72,LR24.8,LR,2015,2,213,2015-08-01,River,50.33956,-63.28318,Downriver
ROM-045.24,LR25,LR,2015,2,213,2015-08-01,River,50.33554,-63.28852,Downriver
ROM-044.80,LR25.1,LR,2015,2,213,2015-08-01,River,50.33191,-63.28819,Downriver
ROM-044.08,LR25.2,LR,2015,2,213,2015-08-01,River,50.32567,-63.28985,Downriver
ROM-043.21,LR25.3,LR,2015,2,213,2015-08-01,River,50.31791,-63.29068,Downriver
