"samples","site.name","sample.name","series","year","campaign","julian.day","sampling.date","sample.type","sample.type.year","Season","lat","long","temp.water.ysi","do.cor.perc.ysi","ph.ysi","DOC","bact.abundance","elev_m","flacc_npx","uplength_m","snapped_lat_tm5","snapped_long_tm5"
"PR23","PR-06A","PR23","PR",2015,2,219,"2015-08-07","Stream","Stream","August",51.1863,-63.9319,16.88,81.9202398322258,5.02,4.75803151217516,1448750,849.4390259,1082,1006.3499756,5672430.84919,344665.364209
"RO2.15","RE2-091-MS","RO2-15","RO2",2015,2,216,"2015-08-04","Reservoir","RO2","August",50.67141,-63.23178,17.55,77.670079085718,7.53,5.45528954368733,1166500,229.1699982,60150800,434875,5615899.22,394605.678517
"RO2.16","RE2-087-MO","RO2-16","RO2",2015,2,216,"2015-08-04","Reservoir","RO2","August",50.65478,-63.25952,17.18,91.2143196803287,6.59,5.42715367301003,1340750,134.9080048,60184300,436364,5614767.56736,395136.820911
"RO2.17","RE2-095-M","RO2-17","RO2",2015,2,216,"2015-08-04","Reservoir","RO2","August",50.69721,-63.25251,18.7,97.6610655485606,6.63,5.8256599140577,1599500,229.1699982,59724800,431645,5618113.26732,393978.694001
"RO2.18","RE2-100-M","RO2-18","RO2",2015,2,216,"2015-08-04","Reservoir","RO2","August",50.7385,-63.21051,19.36,102.367953771522,6.51,5.59085328422345,1229000,229.1699982,59607100,425803,5623317.68949,395508.565352
"RO2.19","RE2-103-M","RO2-19","RO2",2015,2,216,"2015-08-04","Reservoir","RO2","August",50.76554,-63.20193,18.88,95.4424011320971,6.47,5.63894004501739,1145500,229.1699982,59566700,422487,5626311.43368,396300.43863
"RO2.20","RE2-151-M","RO2-20","RO2",2015,2,218,"2015-08-06","Reservoir","RO2","August",51.08314,-63.38306,16.85,99.3488160015231,6.61,8.08164518109269,1429000,229.1699982,50534300,365138,5661235.6224,383057.412354
"RO2.21","RE2-143-AE","RO2-21","RO2",2015,2,218,"2015-08-06","Reservoir","RO2","August",51.02922,-63.29194,19.37,99.0646016739407,6.62,5.97861673828525,1501250,229.1699982,57581400,384309,5651627.4584,387944.995778
"RO2.22","RE2-130-M","RO2-22","RO2",2015,2,218,"2015-08-06","Reservoir","RO2","August",50.96213,-63.2999,18.76,98.0330493227517,6.56,5.78524657253939,1087000,229.1699982,58228600,393480,5647052.14221,389088.824825
"RO2.23","RE2-126-AW","RO2-23","RO2",2015,2,218,"2015-08-06","Reservoir","RO2","August",50.93333,-63.34996,17.98,94.3480387178247,6.56,5.80008184980561,1252500,229.1699982,58227300,391247,5647052.14221,386858.358183
