site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,sample.type.year,lat,long,temp.water.ysi,do.cor.perc.ysi,ph.ysi,DOC,bact.abundance
PR-02A,PR12.5,PR,2015,1,167,2015-06-16,Stream,Stream,51.30408,-63.85239,11.44,NA,NA,NA,NA
PR-02A,PR12.6,PR,2015,1,167,2015-06-16,Stream,Stream,51.30408,-63.85239,11.44,NA,NA,NA,NA
PR-02A,PR12.7,PR,2015,1,167,2015-06-16,Stream,Stream,51.30408,-63.85239,11.44,NA,NA,NA,NA
PR-02A,PR12.8,PR,2015,1,167,2015-06-16,Stream,Stream,51.30408,-63.85239,11.44,NA,NA,NA,NA
TR-222.52,RH30,TR,2015,1,170,2015-06-19,River,Upriver,51.4506,-63.80385,15.02,96.9372126045207,6.31,7.86350620426344,NA
TR-229.24,RH31,TR,2015,1,170,2015-06-19,River,Upriver,51.5072,-63.77443,15.59,96.4291643945897,6.58,7.05589463539994,NA
TR-234.83,RH32,TR,2015,1,170,2015-06-19,River,Upriver,51.53856,-63.74592,15.77,97.4404402607821,6.47,6.00920869472106,NA
TR-180.42,RH33,TR,2015,1,170,2015-06-19,River,Upriver,51.31163,-63.3943,13.3,99.7381005655449,6.46,6.09502598366741,NA
RE2-087-MO,RO2-01,RO2,2015,1,161,2015-06-10,Reservoir,RO2,50.65452,-63.26094,3.93,87.3392636002008,6.29,5.78113288360638,921000
NA,RO2-01D,RO2,2015,1,161,2015-06-10,Deep,Deep,50.65452,-63.26094,4.27,81.0396341189086,6.05,NA,NA
RE2-091-MS,RO2-02,RO2,2015,1,161,2015-06-10,Reservoir,RO2,50.67283,-63.23301,3.89,76.5003411054445,6.04,NA,NA
NA,RO2-02D,RO2,2015,1,161,2015-06-10,Deep,Deep,50.67283,-63.23301,4.22,79.4006104183931,6.03,NA,NA
RE2-114-AE,RO2-03,RO2,2015,1,162,2015-06-11,Reservoir,RO2,50.85649,-63.14495,7.02,90.3042250540197,6.3,6.27476175179356,999500
NA,RO2-03D,RO2,2015,1,162,2015-06-11,Deep,Deep,50.85649,-63.14495,4.61,78.080231356351,6.24,NA,NA
RE2-103-M,RO2-04,RO2,2015,1,162,2015-06-11,Reservoir,RO2,50.76485,-63.20159,4.56,90.4799125062733,6.19,NA,NA
NA,RO2-04D,RO2,2015,1,162,2015-06-11,Deep,Deep,50.76485,-63.20159,4.06,95.5151449823698,6.2,NA,NA
RE2-118-M,RO2-05,RO2,2015,1,164,2015-06-13,Reservoir,RO2,50.88609,-63.22355,8.65,106.111504257478,6.1,5.83455497382199,1253500
NA,RO2-05D,RO2,2015,1,164,2015-06-13,Deep,Deep,50.88609,-63.22355,7.35,106.294609332335,6.24,NA,NA
RE2-147-AE,RO2-06,RO2,2015,1,164,2015-06-13,Reservoir,RO2,51.05861,-63.19688,9.47,107.847506375694,6.07,5.73141361256544,985000
NA,RO2-06D,RO2,2015,1,164,2015-06-13,Deep,Deep,51.05861,-63.19688,6.47,100.098517953437,5.91,NA,NA
RE2-143-AE,RO2-07,RO2,2015,1,164,2015-06-13,Reservoir,RO2,51.03348,-63.29688,9.64,112.502684418188,6.06,5.8848167539267,1244500
NA,RO2-07D,RO2,2015,1,164,2015-06-13,Deep,Deep,51.03348,-63.29688,7.01,102.87900649347,3.17,NA,NA
RE2-147-M,RO2-08,RO2,2015,1,164,2015-06-13,Reservoir,RO2,51.0619,-63.35868,10.7,114.245969816145,6.54,5.53560209424084,688500
NA,RO2-08D,RO2,2015,1,164,2015-06-13,Deep,Deep,51.0619,-63.35868,9.83,111.838841858346,6.51,NA,NA
RE2-126-AW,RO2-09,RO2,2015,1,164,2015-06-13,Reservoir,RO2,50.93158,-63.35123,9.71,110.446112746431,6.43,5.62251308900523,1148000
NA,RO2-09D,RO2,2015,1,164,2015-06-13,Deep,Deep,50.93158,-63.35123,8.58,103.802773313757,6.2,NA,NA
RE2-095-M,RO2-10,RO2,2015,1,168,2015-06-17,Reservoir,RO2,50.696833,-63.252028,5.77,89.4631017232513,6.07,5.88900523560209,1261000
NA,RO2-10D,RO2,2015,1,168,2015-06-17,Deep,Deep,50.696833,-63.252028,5.58,88.7858255287456,6.07,NA,NA
RE2-100-M,RO2-11,RO2,2015,1,168,2015-06-17,Reservoir,RO2,50.740278,-63.210278,6.56,92.8153561447925,6.19,5.79214659685864,825500
NA,RO2-11D,RO2,2015,1,168,2015-06-17,Deep,Deep,50.740278,-63.210278,6.05,87.8175972144848,6.15,NA,NA
RE2-110-AW,RO2-12,RO2,2015,1,168,2015-06-17,Reservoir,RO2,50.825528,-63.210583,8,107.83789964674,6.32,5.86701570680628,850500
NA,RO2-12D,RO2,2015,1,168,2015-06-17,Deep,Deep,50.825528,-63.210583,7.9,109.310304070864,6.31,NA,NA
RE2-130-M,RO2-13,RO2,2015,1,168,2015-06-17,Reservoir,RO2,50.965944,-63.296111,9.58,103.788449283241,6.39,5.69267015706806,1379000
NA,RO2-13D,RO2,2015,1,168,2015-06-17,Deep,Deep,50.965944,-63.296111,9.51,103.165600731902,6.37,NA,NA
